iter	Logloss
509	0.1554903535
510	0.155490044
511	0.155488757
512	0.155484622
513	0.1554843233
514	0.1554798397
515	0.1554718564
516	0.1554706955
517	0.1554703999
518	0.1554670394
519	0.1554667386
520	0.1554603831
521	0.1554561581
522	0.1554467107
523	0.1554407305
524	0.1554360407
525	0.1554321119
526	0.1554226799
527	0.1554193027
528	0.1554156859
529	0.1554115233
530	0.1554056707
531	0.155405375
532	0.1554018277
533	0.1553983025
534	0.1553949982
535	0.1553898223
536	0.1553886085
537	0.1553883142
538	0.1553795282
539	0.1553792489
540	0.1553780909
541	0.1553736971
542	0.1553726309
543	0.155368543
544	0.1553682692
545	0.1553649613
546	0.1553633155
547	0.1553622203
548	0.1553611703
549	0.1553608852
550	0.155360531
551	0.155359856
552	0.1553557156
553	0.1553505154
554	0.1553471306
555	0.1553449909
556	0.1553400719
557	0.1553346217
558	0.155330933
559	0.1553279126
560	0.1553226432
561	0.155321667
562	0.1553158229
563	0.1553125185
564	0.1553094106
565	0.1553066579
566	0.1553063821
567	0.1553061255
568	0.1553046718
569	0.155301625
570	0.1553013656
571	0.1552976631
572	0.1552945804
573	0.1552906688
574	0.1552868553
575	0.1552827309
576	0.1552784913
577	0.1552756839
578	0.1552742355
579	0.155271329
580	0.1552687264
581	0.1552642233
582	0.1552639743
583	0.1552608555
584	0.1552572701
585	0.1552527412
586	0.1552438327
587	0.1552434823
588	0.1552359116
589	0.1552311898
590	0.1552309467
591	0.1552272283
592	0.1552240526
593	0.1552218669
594	0.1552216098
595	0.1552185581
596	0.1552165957
597	0.1552162389
598	0.1552139764
599	0.1552109552
600	0.1552090851
601	0.1552086026
602	0.1552059287
603	0.1552039518
604	0.1551994551
605	0.1551991143
606	0.1551963428
607	0.155193492
608	0.1551913555
609	0.1551868954
610	0.1551789954
611	0.1551758778
612	0.1551678967
613	0.1551666908
614	0.1551646004
615	0.1551615004
616	0.1551600676
617	0.1551552165
618	0.1551549879
619	0.1551511183
620	0.1551508826
621	0.1551465887
622	0.1551463091
623	0.1551459688
624	0.1551401818
625	0.1551390407
626	0.1551388187
627	0.1551355094
628	0.1551313321
629	0.1551288743
630	0.1551244861
631	0.1551217648
632	0.1551193412
633	0.1551190131
634	0.1551184252
635	0.1551147785
636	0.155110691
637	0.1551104992
638	0.1551078694
639	0.1551042426
640	0.1551040549
641	0.1551011037
642	0.1550974477
643	0.1550962407
644	0.1550941252
645	0.1550914272
646	0.1550873371
647	0.1550840031
648	0.1550811862
649	0.1550785517
650	0.1550783681
651	0.1550761125
652	0.1550715684
653	0.1550713886
654	0.1550673493
655	0.1550654981
656	0.155065294
657	0.1550633481
658	0.1550615144
659	0.1550593545
660	0.1550560382
661	0.1550520777
662	0.1550492824
663	0.1550463265
664	0.1550461329
665	0.1550433749
666	0.1550403111
667	0.1550381281
668	0.1550378165
669	0.155035833
670	0.1550345172
671	0.1550302722
672	0.1550261812
673	0.1550239145
674	0.1550223201
675	0.1550198868
676	0.1550197174
677	0.1550184386
678	0.1550153421
679	0.1550138202
680	0.1550118259
681	0.1550080154
682	0.1550060412
683	0.1549984755
684	0.1549926425
685	0.1549889219
686	0.1549887596
687	0.154986199
688	0.1549834744
