iter	Passed	Remaining
399	33481	217630
400	33571	217589
401	33664	217562
402	33741	217438
403	33822	217332
404	33901	217221
405	33982	217117
406	34101	217258
407	34191	217217
408	34308	217345
409	34399	217303
410	34489	217260
411	34561	217101
412	34648	217036
413	34723	216893
414	34814	216857
415	34890	216722
416	34980	216679
417	35067	216615
418	35158	216572
419	35232	216427
420	35310	216310
421	35418	216368
422	35476	216130
423	35567	216088
424	35657	216045
425	35731	215896
426	35805	215754
427	35897	215721
428	35987	215670
429	36048	215451
430	36126	215334
431	36199	215183
432	36259	214958
433	36350	214917
434	36412	214706
435	36504	214676
436	36592	214614
437	36684	214581
438	36763	214467
439	36841	214349
440	36918	214230
441	36975	213989
442	37034	213765
443	37128	213736
444	37221	213708
445	37297	213580
446	37396	213585
447	37459	213386
448	37546	213321
449	37610	213124
450	37709	213128
451	37785	213005
452	37876	212962
453	37970	212938
454	38064	212907
455	38144	212806
456	38272	212969
457	38363	212924
458	38439	212796
459	38500	212591
460	38563	212390
461	38661	212386
462	38750	212330
463	38823	212191
464	38883	211980
465	38973	211927
466	39060	211863
467	39149	211810
468	39223	211671
469	39299	211546
470	39390	211506
471	39477	211436
472	39563	211369
473	39678	211450
474	39751	211309
475	39839	211249
476	39926	211182
477	40013	211118
478	40086	210975
479	40172	210906
480	40245	210765
481	40333	210705
482	40394	210501
483	40480	210431
484	40539	210218
485	40629	210169
486	40703	210036
487	40790	209969
488	40876	209899
489	40952	209774
490	41015	209588
491	41103	209526
492	41193	209476
493	41252	209266
494	41313	209072
495	41375	208878
496	41437	208689
497	41513	208566
498	41590	208452
499	41681	208409
500	41748	208242
501	41840	208204
502	41921	208105
503	42009	208046
504	42086	207933
505	42149	207749
506	42214	207574
507	42277	207392
508	42336	207192
509	42397	206999
510	42460	206816
511	42538	206709
512	42615	206597
513	42691	206479
514	42754	206302
515	42846	206259
516	42908	206077
517	42970	205895
518	43047	205782
519	43112	205615
520	43176	205439
521	43241	205271
522	43335	205243
523	43399	205070
524	43491	205029
525	43565	204908
526	43632	204748
527	43694	204567
528	43774	204475
529	43839	204308
530	43906	204150
531	43970	203982
532	44064	203954
533	44145	203865
534	44210	203698
535	44273	203525
536	44339	203367
537	44404	203202
538	44469	203041
539	44533	202874
540	44598	202714
541	44664	202555
542	44743	202460
543	44810	202305
544	44874	202141
545	44966	202101
546	45031	201943
547	45112	201853
548	45179	201701
549	45246	201551
550	45322	201444
551	45414	201403
552	45495	201313
553	45573	201215
554	45651	201113
555	45731	201022
556	45796	200865
557	45891	200838
558	45965	200717
559	46025	200539
560	46099	200423
561	46194	200394
562	46281	200335
563	46366	200265
564	46425	200080
565	46515	200031
566	46602	199970
567	46664	199803
568	46739	199689
569	46800	199515
570	46860	199341
571	46932	199217
572	46991	199037
573	47081	198989
574	47143	198821
575	47233	198774
576	47327	198740
577	47387	198568
578	47465	198469
579	47537	198347
580	47602	198193
581	47668	198046
582	47730	197879
583	47810	197790
584	47872	197626
585	47972	197619
586	48061	197566
587	48146	197497
588	48207	197331
589	48328	197410
590	48401	197293
591	48459	197114
592	48537	197015
593	48596	196840
594	48657	196675
595	48732	196566
596	48790	196389
597	48882	196347
598	48940	196170
599	49028	196114
600	49102	196001
601	49194	195961
602	49284	195911
603	49360	195808
604	49426	195661
605	49485	195492
606	49544	195321
607	49604	195153
608	49695	195108
609	49785	195061
610	49874	195008
611	49950	194903
612	50042	194862
613	50135	194825
614	50194	194658
615	50285	194613
616	50364	194519
617	50456	194479
618	50560	194482
619	50655	194453
620	50734	194359
621	50811	194260
622	50890	194167
623	50985	194135
624	51063	194039
625	51144	193958
626	51209	193812
627	51304	193781
628	51418	193822
629	51493	193713
630	51557	193566
631	51618	193406
632	51683	193261
633	51745	193108
634	51844	193091
635	51935	193043
636	51996	192883
637	52088	192840
638	52150	192687
639	52244	192650
640	52332	192592
641	52417	192523
642	52505	192465
643	52597	192420
644	52671	192310
645	52748	192212
646	52823	192106
647	52896	191994
648	52983	191931
649	53071	191872
650	53132	191717
651	53202	191594
652	53287	191524
653	53344	191355
654	53455	191379
655	53529	191268
656	53602	191156
657	53691	191103
658	53749	190936
659	53808	190774
660	53868	190619
661	53931	190471
662	54019	190412
663	54091	190296
664	54150	190135
665	54240	190085
666	54332	190042
667	54420	189982
668	54507	189922
669	54568	189766
670	54631	189621
671	54724	189581
672	54814	189530
673	54903	189473
674	54997	189435
675	55060	189290
676	55124	189148
677	55201	189053
678	55265	188911
679	55330	188775
680	55407	188676
681	55501	188639
682	55576	188538
683	55669	188496
684	55732	188351
685	55814	188273
686	55879	188135
687	55944	187998
688	56020	187901
